Technical_Skills,Educational_Qualification,Job_Role
"E-learning, Instructional Design",B.E. in Civil Engineering,School Teacher
"C++, Data Structures, Algorithms",MCA in Computer Applications,DevOps Engineer
"Intellectual Property, Legal Drafting",B.Pharm in Pharmacy,Legal Advisor
"3D Modelling, Blender, Maya",B.Sc in Nursing,Animator
"AutoCAD, Civil 3D",B.Pharm in Pharmacy,Electrical Engineer
"Criminal Law, Litigation",B.E. in Civil Engineering,Corporate Lawyer
"Legal Research, Contract Law",B.Sc in Agriculture,Legal Advisor
"Risk Management, Auditing",B.Des in Graphic Design,Accountant
"Ground Operations, Safety Procedures",LLB in Law,Pilot
"Digital Marketing, SEO, Google Ads",B.Tech in Computer Science,SEO Specialist
"Curriculum Design, Pedagogy",B.Tech in Computer Science,Professor
"Pharmacology, Drug Safety",LLB in Law,Medical Researcher
"Irrigation, Farm Equipment Operation",B.E. in Civil Engineering,Soil Analyst
"Flight Planning, Navigation Systems",B.Ed in Education,Ground Staff Supervisor
"Horticulture, Seed Technology",M.Sc in Data Science,Soil Analyst
"Medical Imaging, Radiology",Diploma in Mechanical Engineering,Lab Technician
"Ground Operations, Safety Procedures",B.Des in Graphic Design,Ground Staff Supervisor
"Ground Operations, Safety Procedures",B.Pharm in Pharmacy,Ground Staff Supervisor
"Curriculum Design, Pedagogy",B.Pharm in Pharmacy,Educational Consultant
"PLC Programming, SCADA",MCA in Computer Applications,Electrical Engineer
"Simulink, Power Electronics",B.Des in Graphic Design,Mechanical Engineer
"Agri Business, Supply Chain",LLB in Law,Agri-Business Consultant
"Pharmacology, Drug Safety",MBA in Finance,Lab Technician
"Accounting, Tally, SAP FICO",B.Ed in Education,Data Analyst
"Pharmacology, Drug Safety",B.Sc in Biotechnology,Pharmacist
"Market Research, Brand Management",B.Sc in Biotechnology,Sales Manager
"Agri Business, Supply Chain",B.A. in Psychology,Soil Analyst
"Figma, UI/UX, Prototyping",B.Sc in Nursing,Graphic Designer
"Video Editing, Premiere Pro, After Effects",B.Ed in Education,Graphic Designer
"CRM, Salesforce, Lead Generation",Diploma in Mechanical Engineering,Digital Marketing Executive
"Intellectual Property, Legal Drafting",M.Com in Accounting and Finance,Legal Analyst
"Patient Care, Diagnostics",BBA in Marketing,Pharmacist
"Digital Marketing, SEO, Google Ads",B.Des in Graphic Design,Digital Marketing Executive
"Classroom Management, Assessment",BBA in Marketing,Instructional Designer
"Ground Operations, Safety Procedures",Diploma in Mechanical Engineering,Ground Staff Supervisor
"3D Modelling, Blender, Maya",MCA in Computer Applications,Animator
"AWS, Docker, Kubernetes",Diploma in Mechanical Engineering,AI Engineer
"Ground Operations, Safety Procedures",MBA in Finance,Air Traffic Controller
"Aircraft Maintenance, Avionics",B.Des in Graphic Design,Aircraft Maintenance Engineer
"Air Traffic Control, Communication Systems",B.Tech in Electronics and Communication,Ground Staff Supervisor
"Social Media Strategy, Content Writing",B.E. in Mechanical Engineering,Brand Strategist
"Medical Imaging, Radiology",B.Sc in Nursing,Medical Researcher
"Intellectual Property, Legal Drafting",MCA in Computer Applications,Legal Advisor
"Legal Research, Contract Law",B.Sc in Nursing,Legal Analyst
"Figma, UI/UX, Prototyping",BBA in Marketing,Animator
"Aircraft Maintenance, Avionics",MCA in Computer Applications,Ground Staff Supervisor
"Irrigation, Farm Equipment Operation",B.Sc in Agriculture,Agri-Business Consultant
"Photoshop, Illustrator, InDesign",B.Tech in Electronics and Communication,Graphic Designer
"Criminal Law, Litigation",B.Tech in Electronics and Communication,Corporate Lawyer
"DevOps, Jenkins, Git",B.E. in Mechanical Engineering,Cybersecurity Analyst
"Curriculum Design, Pedagogy",B.E. in Civil Engineering,Instructional Designer
"Social Media Strategy, Content Writing",B.Pharm in Pharmacy,Digital Marketing Executive
"Criminal Law, Litigation",M.Com in Accounting and Finance,Corporate Lawyer
"Irrigation, Farm Equipment Operation",B.A. in Psychology,Soil Analyst
"Legal Research, Contract Law",B.Ed in Education,Legal Advisor
"Criminal Law, Litigation",B.Pharm in Pharmacy,Legal Advisor
"Excel, Financial Modelling, Power BI",B.A. in Psychology,Data Analyst
"Python, SQL, Machine Learning",M.Com in Accounting and Finance,Software Engineer
"Legal Research, Contract Law",B.Sc in Biotechnology,Legal Analyst
"CATIA, CAM, CNC Machining",M.Tech in Electrical Engineering,Electrical Engineer
"Excel, Financial Modelling, Power BI",B.A. in Psychology,Investment Banker
"Corporate Law, Arbitration",B.Sc in Nursing,Legal Analyst
"Intellectual Property, Legal Drafting",M.Com in Accounting and Finance,Legal Analyst
"Investment Analysis, Portfolio Management",B.Sc in Nursing,Data Analyst
"DevOps, Jenkins, Git",M.Com in Accounting and Finance,DevOps Engineer
"Crop Management, Soil Science",B.E. in Mechanical Engineering,Soil Analyst
"Flight Planning, Navigation Systems",B.E. in Civil Engineering,Pilot
"3D Modelling, Blender, Maya",B.Sc in Biotechnology,Animator
"Legal Research, Contract Law",B.Sc in Biotechnology,Legal Advisor
"CATIA, CAM, CNC Machining",MCA in Computer Applications,Design Engineer
"Legal Research, Contract Law",B.E. in Mechanical Engineering,Legal Analyst
"Photoshop, Illustrator, InDesign",Diploma in Mechanical Engineering,Animator
"Intellectual Property, Legal Drafting",MCA in Computer Applications,Legal Analyst
"SolidWorks, ANSYS, MATLAB",B.Sc in Nursing,Electrical Engineer
"Accounting, Tally, SAP FICO",BBA in Marketing,Financial Analyst
"Java, Spring Boot, REST API",Diploma in Mechanical Engineering,Software Engineer
"Cybersecurity, Ethical Hacking, Linux",M.Com in Accounting and Finance,DevOps Engineer
"Market Research, Brand Management",B.Sc in Agriculture,Brand Strategist
"Data Analytics, Power BI, DAX",Diploma in Mechanical Engineering,Accountant
"Air Traffic Control, Communication Systems",BBA in Marketing,Ground Staff Supervisor
"C++, Data Structures, Algorithms",B.E. in Mechanical Engineering,DevOps Engineer
"Video Editing, Premiere Pro, After Effects",B.Sc in Agriculture,Video Editor
"CATIA, CAM, CNC Machining",B.Ed in Education,Automation Engineer
"SolidWorks, ANSYS, MATLAB",B.Sc in Agriculture,Mechanical Engineer
"Social Media Strategy, Content Writing",B.Sc in Nursing,Brand Strategist
"Ground Operations, Safety Procedures",LLB in Law,Air Traffic Controller
"Curriculum Design, Pedagogy",LLB in Law,School Teacher
"Crop Management, Soil Science",B.Ed in Education,Agri-Business Consultant
"CRM, Salesforce, Lead Generation",B.A. in Psychology,SEO Specialist
"Corporate Law, Arbitration",MCA in Computer Applications,Corporate Lawyer
"E-learning, Instructional Design",LLB in Law,Instructional Designer
"Flight Planning, Navigation Systems",B.E. in Civil Engineering,Pilot
"Agri Business, Supply Chain",MCA in Computer Applications,Agricultural Officer
"Pharmacology, Drug Safety",LLB in Law,Pharmacist
"Crop Management, Soil Science",B.E. in Mechanical Engineering,Farm Manager
"Pharmacology, Drug Safety",M.Sc in Data Science,Healthcare Data Analyst
"Ground Operations, Safety Procedures",M.Sc in Data Science,Pilot
"Criminal Law, Litigation",B.Tech in Electronics and Communication,Corporate Lawyer
"Intellectual Property, Legal Drafting",B.Sc in Agriculture,Corporate Lawyer
"Intellectual Property, Legal Drafting",B.Des in Graphic Design,Litigation Associate
"Horticulture, Seed Technology",M.Tech in Electrical Engineering,Agricultural Officer
"Patient Care, Diagnostics",B.Tech in Electronics and Communication,Lab Technician
"3D Modelling, Blender, Maya",B.E. in Mechanical Engineering,Animator
"E-learning, Instructional Design",MCA in Computer Applications,Educational Consultant
"Photoshop, Illustrator, InDesign",B.Ed in Education,UI/UX Designer
"Clinical Research, Data Analysis",M.Sc in Data Science,Lab Technician
"SolidWorks, ANSYS, MATLAB",Diploma in Mechanical Engineering,Mechanical Engineer
"3D Modelling, Blender, Maya",M.Tech in Electrical Engineering,Graphic Designer
"Aircraft Maintenance, Avionics",B.Tech in Electronics and Communication,Pilot
"Educational Research, SPSS",B.Tech in Electronics and Communication,Educational Consultant
"Clinical Research, Data Analysis",B.A. in Psychology,Healthcare Data Analyst
"AutoCAD, Civil 3D",M.Tech in Electrical Engineering,Mechanical Engineer
"Corporate Law, Arbitration",M.Com in Accounting and Finance,Corporate Lawyer
"Educational Research, SPSS",B.Pharm in Pharmacy,School Teacher
"Simulink, Power Electronics",M.Tech in Electrical Engineering,Production Engineer
"Medical Imaging, Radiology",B.Pharm in Pharmacy,Medical Researcher
"Social Media Strategy, Content Writing",B.Sc in Agriculture,SEO Specialist
"Medical Imaging, Radiology",BBA in Marketing,Lab Technician
"Medical Imaging, Radiology",B.E. in Civil Engineering,Lab Technician
"Agri Business, Supply Chain",Diploma in Mechanical Engineering,Farm Manager
"Photoshop, Illustrator, InDesign",B.Sc in Agriculture,Animator
"Aircraft Maintenance, Avionics",B.Sc in Agriculture,Air Traffic Controller
"Figma, UI/UX, Prototyping",M.Tech in Electrical Engineering,Animator
"SolidWorks, ANSYS, MATLAB",B.Sc in Nursing,Design Engineer
"Aircraft Maintenance, Avionics",B.Ed in Education,Pilot
"Data Analytics, Power BI, DAX",B.Tech in Computer Science,Business Analyst
"Excel, Financial Modelling, Power BI",BBA in Marketing,Investment Banker
"CATIA, CAM, CNC Machining",B.E. in Civil Engineering,Production Engineer
"Risk Management, Auditing",BBA in Marketing,Financial Analyst
"Photoshop, Illustrator, InDesign",M.Com in Accounting and Finance,Animator
"Risk Management, Auditing",B.A. in Psychology,Financial Analyst
"Patient Care, Diagnostics",MBA in Finance,Healthcare Data Analyst
"Aircraft Maintenance, Avionics",B.Tech in Computer Science,Aircraft Maintenance Engineer
"PLC Programming, SCADA",B.Tech in Electronics and Communication,Civil Engineer
"Figma, UI/UX, Prototyping",B.Sc in Agriculture,Graphic Designer
"Python, SQL, Machine Learning",B.Tech in Electronics and Communication,Data Scientist
"Patient Care, Diagnostics",B.E. in Civil Engineering,Medical Researcher
"Ground Operations, Safety Procedures",M.Tech in Electrical Engineering,Air Traffic Controller
"Clinical Research, Data Analysis",B.Sc in Biotechnology,Medical Researcher
"Business Analysis, SQL, Tableau",B.E. in Civil Engineering,Financial Analyst
"Java, Spring Boot, REST API",B.Des in Graphic Design,Data Scientist
"Agri Business, Supply Chain",M.Sc in Data Science,Agricultural Officer
"Clinical Research, Data Analysis",B.Ed in Education,Pharmacist
"E-learning, Instructional Design",B.Pharm in Pharmacy,Educational Consultant
"TensorFlow, Deep Learning, NLP",B.Tech in Computer Science,Cybersecurity Analyst
"Ground Operations, Safety Procedures",B.Ed in Education,Pilot
"Medical Imaging, Radiology",B.Des in Graphic Design,Pharmacist
"DevOps, Jenkins, Git",M.Tech in Electrical Engineering,Data Scientist
"Social Media Strategy, Content Writing",B.Sc in Biotechnology,Sales Manager
"Criminal Law, Litigation",B.E. in Mechanical Engineering,Corporate Lawyer
"Classroom Management, Assessment",B.Sc in Biotechnology,School Teacher
"Video Editing, Premiere Pro, After Effects",M.Tech in Electrical Engineering,Animator
"Java, Spring Boot, REST API",M.Sc in Data Science,Web Developer
"Intellectual Property, Legal Drafting",B.Tech in Computer Science,Legal Analyst
"Pharmacology, Drug Safety",B.Tech in Electronics and Communication,Lab Technician
"Irrigation, Farm Equipment Operation",B.Sc in Nursing,Farm Manager
"Digital Marketing, SEO, Google Ads",LLB in Law,Brand Strategist
"Video Editing, Premiere Pro, After Effects",M.Com in Accounting and Finance,Graphic Designer
"Investment Analysis, Portfolio Management",B.Sc in Agriculture,Accountant
"Educational Research, SPSS",M.Tech in Electrical Engineering,School Teacher
"Agri Business, Supply Chain",B.A. in Psychology,Agricultural Officer
"Business Analysis, SQL, Tableau",B.E. in Civil Engineering,Auditor
"HTML, CSS, JavaScript, React",BBA in Marketing,Data Scientist
"Digital Marketing, SEO, Google Ads",MCA in Computer Applications,Sales Manager
"Simulink, Power Electronics",B.Sc in Nursing,Electrical Engineer
"Agri Business, Supply Chain",M.Com in Accounting and Finance,Agricultural Officer
"Air Traffic Control, Communication Systems",M.Sc in Data Science,Pilot
"Social Media Strategy, Content Writing",B.Tech in Computer Science,Digital Marketing Executive
"Data Analytics, Power BI, DAX",B.Ed in Education,Investment Banker
"Investment Analysis, Portfolio Management",MCA in Computer Applications,Accountant
"E-learning, Instructional Design",MCA in Computer Applications,School Teacher
"CRM, Salesforce, Lead Generation",BBA in Marketing,Sales Manager
"Intellectual Property, Legal Drafting",M.Sc in Data Science,Legal Advisor
"Curriculum Design, Pedagogy",B.Ed in Education,Instructional Designer
"Intellectual Property, Legal Drafting",LLB in Law,Legal Advisor
"Ground Operations, Safety Procedures",B.Pharm in Pharmacy,Ground Staff Supervisor
"Agri Business, Supply Chain",MBA in Finance,Agri-Business Consultant
"3D Modelling, Blender, Maya",MBA in Finance,UI/UX Designer
"Photoshop, Illustrator, InDesign",B.E. in Civil Engineering,Video Editor
"3D Modelling, Blender, Maya",B.Sc in Nursing,Video Editor
"SolidWorks, ANSYS, MATLAB",B.Pharm in Pharmacy,Production Engineer
"E-learning, Instructional Design",LLB in Law,Professor
"Crop Management, Soil Science",M.Tech in Electrical Engineering,Soil Analyst
"Social Media Strategy, Content Writing",B.Ed in Education,Brand Strategist
"Investment Analysis, Portfolio Management",B.Sc in Biotechnology,Financial Analyst
"Ground Operations, Safety Procedures",B.Ed in Education,Ground Staff Supervisor
"Irrigation, Farm Equipment Operation",Diploma in Mechanical Engineering,Farm Manager
"Python, SQL, Machine Learning",LLB in Law,Software Engineer
"Flight Planning, Navigation Systems",MCA in Computer Applications,Pilot
"Flight Planning, Navigation Systems",B.Sc in Agriculture,Aircraft Maintenance Engineer
"Social Media Strategy, Content Writing",B.E. in Civil Engineering,Sales Manager
"Photoshop, Illustrator, InDesign",Diploma in Mechanical Engineering,UI/UX Designer
"Video Editing, Premiere Pro, After Effects",M.Com in Accounting and Finance,Graphic Designer
"Horticulture, Seed Technology",B.Des in Graphic Design,Soil Analyst
"E-learning, Instructional Design",B.E. in Mechanical Engineering,School Teacher
"CATIA, CAM, CNC Machining",MBA in Finance,Design Engineer
"AWS, Docker, Kubernetes",LLB in Law,Web Developer
"Crop Management, Soil Science",B.A. in Psychology,Soil Analyst
"Video Editing, Premiere Pro, After Effects",LLB in Law,Animator
"Clinical Research, Data Analysis",B.Des in Graphic Design,Healthcare Data Analyst
"Photoshop, Illustrator, InDesign",B.Tech in Computer Science,UI/UX Designer
"Excel, Financial Modelling, Power BI",B.Pharm in Pharmacy,Data Analyst
"Photoshop, Illustrator, InDesign",B.Sc in Nursing,Video Editor
"AWS, Docker, Kubernetes",MCA in Computer Applications,Software Engineer
"Java, Spring Boot, REST API",B.Sc in Biotechnology,Software Engineer
"Clinical Research, Data Analysis",M.Sc in Data Science,Healthcare Data Analyst
"Medical Imaging, Radiology",BBA in Marketing,Lab Technician
"Clinical Research, Data Analysis",B.Sc in Biotechnology,Healthcare Data Analyst
"Aircraft Maintenance, Avionics",Diploma in Mechanical Engineering,Air Traffic Controller
"Investment Analysis, Portfolio Management",B.Des in Graphic Design,Investment Banker
"Market Research, Brand Management",M.Com in Accounting and Finance,Sales Manager
"Curriculum Design, Pedagogy",M.Com in Accounting and Finance,Educational Consultant
"Accounting, Tally, SAP FICO",B.E. in Civil Engineering,Auditor
"Criminal Law, Litigation",M.Com in Accounting and Finance,Legal Advisor
"3D Modelling, Blender, Maya",B.Sc in Nursing,Graphic Designer
"Patient Care, Diagnostics",M.Sc in Data Science,Lab Technician
"E-learning, Instructional Design",MCA in Computer Applications,Professor
"Java, Spring Boot, REST API",MCA in Computer Applications,Cybersecurity Analyst
"3D Modelling, Blender, Maya",MCA in Computer Applications,Graphic Designer
"C++, Data Structures, Algorithms",B.Des in Graphic Design,Web Developer
"Business Analysis, SQL, Tableau",B.A. in Psychology,Investment Banker
"Educational Research, SPSS",B.Tech in Electronics and Communication,School Teacher
"Criminal Law, Litigation",M.Com in Accounting and Finance,Legal Analyst
"PLC Programming, SCADA",BBA in Marketing,Electrical Engineer
"Intellectual Property, Legal Drafting",B.Sc in Biotechnology,Corporate Lawyer
"Video Editing, Premiere Pro, After Effects",B.Ed in Education,Graphic Designer
"Curriculum Design, Pedagogy",B.Des in Graphic Design,School Teacher
"DevOps, Jenkins, Git",B.Sc in Agriculture,AI Engineer
"Flight Planning, Navigation Systems",B.Tech in Electronics and Communication,Pilot
"Aircraft Maintenance, Avionics",MCA in Computer Applications,Pilot
"Criminal Law, Litigation",B.Sc in Biotechnology,Legal Analyst
"Accounting, Tally, SAP FICO",M.Sc in Data Science,Financial Analyst
"Risk Management, Auditing",B.E. in Civil Engineering,Investment Banker
"Medical Imaging, Radiology",BBA in Marketing,Pharmacist
"Corporate Law, Arbitration",B.Sc in Biotechnology,Legal Analyst
"Patient Care, Diagnostics",B.Sc in Agriculture,Lab Technician
"Medical Imaging, Radiology",B.Sc in Biotechnology,Healthcare Data Analyst
"Flight Planning, Navigation Systems",B.Sc in Agriculture,Air Traffic Controller
"Business Analysis, SQL, Tableau",B.E. in Mechanical Engineering,Data Analyst
"3D Modelling, Blender, Maya",B.E. in Civil Engineering,Graphic Designer
"Corporate Law, Arbitration",M.Com in Accounting and Finance,Litigation Associate
"Video Editing, Premiere Pro, After Effects",M.Tech in Electrical Engineering,Animator
"Agri Business, Supply Chain",B.A. in Psychology,Agri-Business Consultant
"Pharmacology, Drug Safety",LLB in Law,Lab Technician
"Pharmacology, Drug Safety",B.Tech in Electronics and Communication,Medical Researcher
"Clinical Research, Data Analysis",B.A. in Psychology,Medical Researcher
"Intellectual Property, Legal Drafting",B.E. in Mechanical Engineering,Litigation Associate
"3D Modelling, Blender, Maya",B.Tech in Computer Science,UI/UX Designer
"Agri Business, Supply Chain",MCA in Computer Applications,Agricultural Officer
"Irrigation, Farm Equipment Operation",BBA in Marketing,Agri-Business Consultant
"Social Media Strategy, Content Writing",LLB in Law,Sales Manager
"Video Editing, Premiere Pro, After Effects",B.Ed in Education,Video Editor
"PLC Programming, SCADA",BBA in Marketing,Electrical Engineer
"Medical Imaging, Radiology",MCA in Computer Applications,Healthcare Data Analyst
"Ground Operations, Safety Procedures",B.A. in Psychology,Ground Staff Supervisor
"AutoCAD, Civil 3D",B.Sc in Nursing,Mechanical Engineer
"Business Analysis, SQL, Tableau",LLB in Law,Business Analyst
"Patient Care, Diagnostics",M.Tech in Electrical Engineering,Medical Researcher
"Clinical Research, Data Analysis",B.Des in Graphic Design,Healthcare Data Analyst
"SolidWorks, ANSYS, MATLAB",B.Des in Graphic Design,Design Engineer
"Python, SQL, Machine Learning",B.Sc in Agriculture,Data Scientist
"Patient Care, Diagnostics",MBA in Finance,Lab Technician
"Risk Management, Auditing",B.Tech in Computer Science,Auditor
"Flight Planning, Navigation Systems",M.Tech in Electrical Engineering,Ground Staff Supervisor
"Patient Care, Diagnostics",B.Des in Graphic Design,Medical Researcher
"Ground Operations, Safety Procedures",BBA in Marketing,Air Traffic Controller
"Air Traffic Control, Communication Systems",LLB in Law,Pilot
"E-learning, Instructional Design",MCA in Computer Applications,School Teacher
"Cybersecurity, Ethical Hacking, Linux",B.Sc in Agriculture,AI Engineer
"Intellectual Property, Legal Drafting",B.A. in Psychology,Litigation Associate
"Criminal Law, Litigation",B.E. in Civil Engineering,Litigation Associate
"Corporate Law, Arbitration",B.Tech in Computer Science,Litigation Associate
"Investment Analysis, Portfolio Management",B.E. in Mechanical Engineering,Data Analyst
"Legal Research, Contract Law",M.Sc in Data Science,Legal Analyst
"Market Research, Brand Management",B.Tech in Electronics and Communication,Sales Manager
"Ground Operations, Safety Procedures",M.Com in Accounting and Finance,Air Traffic Controller
"Legal Research, Contract Law",MCA in Computer Applications,Legal Analyst
"Java, Spring Boot, REST API",B.E. in Civil Engineering,Cybersecurity Analyst
"CRM, Salesforce, Lead Generation",B.Tech in Electronics and Communication,Brand Strategist
"AutoCAD, Civil 3D",B.E. in Civil Engineering,Electrical Engineer
"Market Research, Brand Management",Diploma in Mechanical Engineering,Brand Strategist
"Irrigation, Farm Equipment Operation",B.Sc in Nursing,Agricultural Officer
"Aircraft Maintenance, Avionics",M.Tech in Electrical Engineering,Aircraft Maintenance Engineer
"Educational Research, SPSS",B.Sc in Agriculture,Professor
"Medical Imaging, Radiology",Diploma in Mechanical Engineering,Medical Researcher
"CATIA, CAM, CNC Machining",B.Sc in Biotechnology,Mechanical Engineer
"AWS, Docker, Kubernetes",B.E. in Mechanical Engineering,Software Engineer
"Aircraft Maintenance, Avionics",M.Tech in Electrical Engineering,Ground Staff Supervisor
"Corporate Law, Arbitration",B.E. in Mechanical Engineering,Corporate Lawyer
"AWS, Docker, Kubernetes",BBA in Marketing,Software Engineer
